step,baseline_train_loss,baseline_val_loss,baseline_val_ppl,lsa_train_loss,lsa_val_loss,lsa_val_ppl
200,1.76962012052536,1.8842347359657288,6.581316069931989,2.0766881704330444,2.091058921813965,8.093480991806981
400,1.4422544836997986,1.6036610293388367,4.971198855044238,1.527040958404541,1.7166341209411622,5.565763215360021
600,1.300794243812561,1.5229900979995727,4.585917056353942,1.429618775844574,1.5879300022125244,4.893608677663691
800,1.2559512853622437,1.5139813470840453,4.544789205309596,1.340140163898468,1.5648554515838624,4.781983657771167
1000,1.1676017045974731,1.4850304675102235,4.415099927831587,1.275203824043274,1.5178607535362243,4.562454533215038
1200,1.0958932042121887,1.5340063524246217,4.6367159786086045,1.1516016721725464,1.5234419298171997,4.587989587775561
1400,1.005307525396347,1.5520116257667542,4.720957436612368,1.131689965724945,1.508549621105194,4.520170078419738
1600,0.9511542916297913,1.588291883468628,4.895379903386208,1.139057993888855,1.5458054280281066,4.691748971750842
1800,0.8937601149082184,1.6623120617866516,5.271484764078549,1.0702726244926453,1.5378211855888366,4.65443805839332
2000,0.8151220083236694,1.7323884081840515,5.654142193740141,1.0368117094039917,1.5792659187316895,4.851393186905807
2200,0.7576201558113098,1.758156635761261,5.801732824411764,0.9799608588218689,1.613741672039032,5.02156517039281
2400,0.7251687347888947,1.81083176612854,6.115532009731495,0.9575744569301605,1.615772225856781,5.031772088061393
2600,0.6233798563480377,1.891353552341461,6.628334409442786,0.9296330511569977,1.6582817673683166,5.2502818840823355
2800,0.6007564663887024,1.9116015243530273,6.763912699757494,0.850799560546875,1.6759155893325806,5.343685531409815
3000,0.6072510480880737,1.9957501578330994,7.357720409777589,0.8897031545639038,1.7187497234344482,5.57755062223268
