step,baseline_s42_val_ppl,baseline_s43_val_ppl,baseline_s44_val_ppl,lsa_s42_val_ppl,lsa_s43_val_ppl,lsa_s44_val_ppl,baseline_mean,baseline_std,lsa_mean,lsa_std,lsa_advantage_pct
200,6.5813,6.6410,6.6191,8.0935,8.1453,8.0302,6.6138,0.0302,8.0896,0.0577,-22.31
400,4.9712,5.0680,5.0376,5.5658,5.5405,5.6504,5.0256,0.0495,5.5856,0.0576,-11.14
600,4.5859,4.6631,4.6306,4.8936,4.9739,5.0101,4.6265,0.0387,4.9592,0.0596,-7.19
800,4.5448,4.4209,4.5344,4.7820,4.6285,4.7964,4.5000,0.0687,4.7356,0.0931,-5.24
1000,4.4151,4.4917,4.5165,4.5625,4.5248,4.6303,4.4744,0.0529,4.5725,0.0534,-2.19
1200,4.6367,4.4453,4.5637,4.5880,4.4921,4.6316,4.5486,0.0966,4.5706,0.0713,-0.48
1400,4.7210,4.5207,4.5984,4.5202,4.5160,4.5458,4.6134,0.1010,4.5273,0.0161,1.87
1600,4.8954,4.6622,4.7683,4.6917,4.6801,4.7000,4.7753,0.1167,4.6906,0.0100,1.77
1800,5.2715,5.0313,5.0258,4.6544,4.7181,4.7234,5.1095,0.1403,4.6986,0.0384,8.04
2000,5.6541,5.1157,5.3316,4.8514,4.8289,4.8474,5.3671,0.2710,4.8426,0.0120,9.77
2200,5.8017,5.5416,5.6048,5.0216,4.9818,4.9172,5.6494,0.1357,4.9735,0.0527,11.96
2400,6.1155,5.7008,5.9275,5.0318,5.2822,5.1367,5.9146,0.2077,5.1502,0.1258,12.92
2600,6.6283,5.9849,6.2239,5.2503,5.4614,5.1654,6.2790,0.3253,5.2924,0.1524,15.71
2800,6.7639,6.3795,6.4352,5.3437,5.6357,5.3520,6.5262,0.2077,5.4438,0.1663,16.59
3000,7.3577,6.2904,6.8541,5.5776,5.8295,5.6348,6.8341,0.5340,5.6806,0.1321,16.88
